sentiment,text,user
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","runcs_janis"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","DanDalaiFreeman"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","robotoasterdev"
"neutral","RT @ukraine_world: Mariott hotel chain suspends operations in Russia.\n\nThe company said that 85 hotels now provide housing for refugees fro…","ronanmoriarty"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","assianir"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","CulikOf"
"neutral","RT @Nezlamna_: НЕ МОВЧІТЬ ПРО ВІЙСЬКОВИЙ ГАРНІЗОН ЗАХИСНИКІВ МАРІУПОЛЯ‼️‼️ \nЇм потрібна наша підтримка🫂🕊\nВони ще не вдома❤️‍🩹\n#saveazovstal…","Vpo5GTj9jAxcpUZ"
"neutral","RT @dmitry_gordon: Кошевой: \"Хороших россиян\" нет. Это ссыкливая нация\n#Украина #Россия #агрессияРоссии #вторжениеРоссии #stoprussia #война…","AnsisEgle"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","marinadegra"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","sorjonen_fi"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","_A_Pilgrim_"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","Bivi_17"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","Rimma_dzimte"
"neutral","RT @ukraine_world: Mariott hotel chain suspends operations in Russia.\n\nThe company said that 85 hotels now provide housing for refugees fro…","WooHooQi"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","no1historychick"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","GMFitzGeraldOG"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","Radu44126707"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","Phil642"
"neutral","RT @tkanao: ロシアが始めた「3日戦争」の100日目。\n大失態をどこまで隠し通せるのか見もの\n#ウクライナ侵攻\n#StopRussia\nhttps://t.co/QrODup15Fm","kokosu32"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","AlfredGliddon"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","heartsteered"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","VictorN78961942"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","Charlen22337645"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","psagmenoss"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","drusu78"
"neutral","RT @ukraine_world: Mariott hotel chain suspends operations in Russia.\n\nThe company said that 85 hotels now provide housing for refugees fro…","valleonardcomc1"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","PJ7bBLOLe8wtqoa"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","shabkoub"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","5NfF9tAK8zaxSga"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","bandergrad"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","MartinsLusis"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","pl_ckm"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","shakhtarska"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","BruderClemens"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","xlenm"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","LauraGoodhart"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","m83mariusz"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","PeteKFromOhio"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","7rqIWQuA445Rqdn"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","AdrianLJ45"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","V_V_Vavas"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","ned_bade"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","Nazar_910"
"neutral","@DefenceHQ #ArmUkraineNow please, help us to #StopRussia","nataliyaGm"
"negative","RT @jodyvance: 100 days. Imagine being attacked - for doing nothing wrong - for 100 days. One man can stop this. One. Man.  #StopRussia #Ru…","JanetBrown980"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","Luis53764166"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","bonhelene"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","encorebenoit"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","TurskaEl"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","A_Woronecki"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","Martini53"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","dimm"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","ManchurianDevil"
"negative","RT @helg2014: Terrible price of bread.\n#RussianWarCrimes #war #StopRussia #ArmUkraineNow https://t.co/q0TEYbq0Xk","IvDz6"
"positive","RT @halyapuff: #Russia declares peaceful #CrimeanTatar organization ‘terrorist’ to escalate repression in occupied #Crimea, #Kherson, other…","GlasnostGone"
"neutral","RT @antiputler_news: 🔵🟡 Вагнер в Лимане отказываться сражаться из-за того, что они  не хотят форсировать хорошо защищенную реку Северского…","OzzieITguy"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","trinity00938206"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","gcrivercat"
"neutral","@LulzSecMafia says they had a #TangoDown on neostock[.]ru - CS:GO Community, well #ThatsUnfortunate\n\n#OpRussia… https://t.co/dUcWV5b6sB","KrazyKaoticMess"
"neutral","RT @virshar_Ua: На замітку всім бажаючим домовитись з московією...\nПеремога буде за нами!!!\n#stoprussia https://t.co/7mInOopKWz","Conrad_The_Bear"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","BSBonner"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","ATek9bahran"
"neutral","RT @u24_news: 🇺🇦Ukrainian intelligence officers are constantly in touch with the captured #Azov soldiers, according to #DenysMonastyrsky ,…","Ebbiebak"
"negative","RT @jodyvance: 100 days. Imagine being attacked - for doing nothing wrong - for 100 days. One man can stop this. One. Man.  #StopRussia #Ru…","notseinfeld01"
"positive","RT @KrazyKaoticMess: @Cero_On3 @DoomSec_ has a #TangoDown on rosreestr[.]gov[.]ru \n\nUnified Information Resource on Land &amp; Real Estate (par…","BornerJere"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","G02891172Yvonne"
"positive","Ukrainians used to live happily in their homes, today they live under the horror of constant #Russian attacks. That… https://t.co/Ji7o0AkTk0","LlopisMarta95"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","arturos1965"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","sztu_i"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","BarbelKonkel"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","netta_geo"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","NepCata"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","FrancescSalat"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","NichPetr"
"neutral","RT @virshar_Ua: На замітку всім бажаючим домовитись з московією...\nПеремога буде за нами!!!\n#stoprussia https://t.co/7mInOopKWz","O60051481"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","kingj69445478"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","CarlKajak"
"neutral","RT @ukraine_world: Mariott hotel chain suspends operations in Russia.\n\nThe company said that 85 hotels now provide housing for refugees fro…","JostikSepgu"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","MeaganABrown"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","ichnich89648258"
"neutral","RT @antiputler_news: 🔵🟡 Вагнер в Лимане отказываться сражаться из-за того, что они  не хотят форсировать хорошо защищенную реку Северского…","IsleyConst"
"neutral","Näin #Venäjä n pääuutiskanavalla illalla: \"Erikoisoperaatio Ukrainassa ohi. Tarkoitus on nyt demilitarisoida koko… https://t.co/IBQn7ZYzmy","TemppuTerava"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","CateSpeech"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","A_Woronecki"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","Missfortuneskin"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","EDMARTING"
"neutral","RT @antiputler_news: 🔵🟡 Пленные рашисты, которые ехали на учения, у стены в Северодонецке.\n\nP.S.  Ну что, сепарье, боты и фанатики, город в…","IhorSame"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","tdjedruchow"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","stopmadmanputin"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","JoMeh7"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","cosmos58202"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","jasszymon65"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","CDohert17593121"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","wadakashiho"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","Alexandra1UApro"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","DaGodfather59"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","ukraineinfobot"
"neutral","RT @gaijin_no_tweet: ❗️現在リヴィウ地方で聞こえる爆発は防空システムからだそう。\n\n#ウクライナ\n#StopRussia","millionmiler4"
"neutral","Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded.… https://t.co/UrziWaNzy6","IuliiaMendel"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","paoloappe"